index,text,raining,raining_station,relevance_hand
128,A few parkruns cancelled tomorrow because of snow and ice. Check the page below before setting off: https://t.co/dkmquolgHv #loveparkrun 🏃🏻,0.0,0.0,1
129,A few spots of #FreezingRain affecting south eastern areas.... is anyone being affected currently?? #rain #Weather ❄️☔️ https://t.co/rutdmVHPMB,0.0,0.0,1
130,"A fine day at Dùn Chailleann or the ""Fort of the Caledonians"" 🌞❄️ #mycheveningjourney… https://t.co/FBS0pnYii2",0.0,0.0,1
131,A 'flood alert' (less severe than warning) remains in place 01:24am Sat. More on protecting properties from flooding https://t.co/ulfxsRJffW https://t.co/tYOAccyqIZ,0.0,0.0,1
132,A #flood warning is being issued by @EnvAgency for the north coast of #Cornwall https://t.co/AJIDECVlSA #flooding #floodaware #weather,1.0,1.0,1
133,A flurrying on snow on the ground @ Tile Giant https://t.co/yvE513gxkH,1.0,0.0,1
134,A flutter of snow in #cwmbran https://t.co/12Y5xyx6kw,0.0,0.0,1
135,"A foggy start, sunny later with highs to 5C but feeling colder in a moderate SE'ly. Frosty o/night, feeling bitterly cold on Thursday.",0.0,0.0,1
136,"A freezing, -5 camp in #Sussex at the weekend. Worth it for the sunny, crisp, serene winter morning and low lying mist. #camp #outdoors https://t.co/kt9uEYX29N",0.0,0.0,1
137,A friend in the winter sun #swan #winter #bridge #river #thames #maidenhead #england… https://t.co/BCg8Pe8MH6,0.0,0.0,1
138,A frosty cold but sunny start for Ketley today 👌🏻 A little tribute to #georgemichael this morning too.. Have a great day #Shropshire https://t.co/HFrOzbJH5Z,0.0,0.0,1
139,A frosty floor but beautifully blue sunny sky! Loving this weather even if it is very cold… https://t.co/HBxYGmFkS4,0.0,0.0,1
140,"A frosty start, sunny with highs of 6C but feeling colder in light NE'ly winds. A frosty night, sunny spells &amp; shwrs Fri possibly wintery.",0.0,0.0,1
141,"A frosty sunny morning. The best kind. @ Hadfield, Tameside, United Kingdom https://t.co/dFRieGrhxN",0.0,0.0,1
142,A frosty sunny walk made even better ... #robin #beautifulnorthernireland #belfast @ Shaws Bridge https://t.co/WqUDGU8pyN,0.0,0.0,1
143,"A frosty winter's morning near Shalbourne, Wiltshire #trees #sun #frost #winter #shadows… https://t.co/AHpEz8Q2Ys",0.0,0.0,1
144,"A full #weekend of #sunshine☀️, #London you've been great this week! And it makes such a… https://t.co/3hMDuDDf7z",0.0,0.0,1
145,A fun day at the park has tired me out #park #snow #family #fun #bully #bulldog #bulldogdays… https://t.co/Jbklw8VlAr,1.0,0.0,1
146,A fun parady of #Adele for a #snowday https://t.co/rToiXQ4kfw,0.0,0.0,1
147,"A 0-0 game that's not on last on @BBCMOTD doesn't say much for the other games, does it.... #MOTD #MidweekGame #Rain ⚽🏆",1.0,0.0,1
148,"A get well card in both male and female version
#getwellsoon #getwell #boy #girl #rain… https://t.co/LnyRhzeUMR",0.0,0.0,1
149,"A giant face of #DonaldTrump merged with #KimKardashian's, a temple catching sun rays, a… https://t.co/IpS0ZUF1ZA",0.0,0.0,1
150,A girls holiday in the sun this year would be a dreammm🏝🏝,0.0,0.0,1
151,A glimpse of a sunset through Glasgow rain. I couldn't leave the wedding fair until I'd… https://t.co/RnAEaz79Jp,0.0,0.0,1
152,A good #run along the #grandunioncanal in #winter #sun #running #canal #croxleygreen #watford… https://t.co/bvzzRpV2tC,0.0,0.0,1
153,"A good day.. and a sunny stroll along the River Ouse.. all is good 😀 
#Yorkshire #GoPro https://t.co/vLcQeSdi0K",0.0,0.0,1
154,A gorgeous &amp; misty but rather eerie morning jaunt just before the snow set in! :D I'm all about the Silent Hill aesthetic! :D https://t.co/onHzHILyub,1.0,0.0,1
155,"A gorgeous chilly but sunny London Monday @ London, United Kingdom https://t.co/LraTL7RSBC",0.0,0.0,1
156,A gorgeous day in Cardiff Bay- lovely to see the sun again after the… https://t.co/c01Ph2DQsF,0.0,0.0,1
157,A gorgeous sunny day in London ...perfect for a wander along the Southbank and lunch with… https://t.co/zpaNwtjJKm,0.0,0.0,1
158,A gorgeous sunny evening on the river. Back to those hazy summer days and capturing photos of… https://t.co/Ewt04wdkXr,0.0,0.0,1
159,A grand start to the week seeing first hand the steady progress on @Aberdeenshire Huntly flood protection scheme - Important investment. https://t.co/UKsqygp4WE,0.0,0.0,1
160,A great afternoon of hockey in the sunshine for Yr 6! #welovehockey #summeriscoming 🏑☀️ @Juniors_WHS @WimbledonHigh https://t.co/WdiIIHWIik,0.0,0.0,1
161,A great big welcome to our newest followers @NatEntNet @carlarieger - hope the snow hasn't caused you any trouble today!,0.0,0.0,1
162,A great night in the rain playing #lasertag with Ongar YFC!  Thanks @MayhemPaintball! #LaserTag #OngarYFC #camouflage #Raining #Brrr 🔫❄️🌧 https://t.co/G6Ei25Esr5,1.0,1.0,1
163,A great walk across #portsdownhill with Ruby today. Blue skies and sun 🐶🐾🍃#cockapoo #puppy #hampshire https://t.co/7ExsmFbvLj,0.0,0.0,1
164,"A great walk by #theroaches today. Snow, fog and cold but nice and quiet! #peakdistrict… https://t.co/tWPK5a9kca",0.0,0.0,1
165,A great way to finish a long day zoot &amp; always sunny in… https://t.co/tczgFQbI0D,0.0,0.0,1
166,A great whiskey 🥃 and haggis 🍴tasting today in #hollandparkavenue and the sun even came out!… https://t.co/KRWfXN6YZk,0.0,0.0,1
167,"A grizzly sunset in an equally grizzly England. Bleak, but beautiful. #rain #England #Weather https://t.co/smGJ6SYSN8",1.0,1.0,1
168,A happy sunny (but sooo chilly!) afternoon laying sawdust arrow trails through the orchard #keepmoving #outdoorplayptbo #GetChildrenOutdoors https://t.co/NnBm4RLeW6,0.0,0.0,1
169,"A hard frost to start, light wintery shwrs turning to rain, highs to 7C in a moderate SW'ly. Variable cloud &amp; shwrs for the wkend, 8C.",0.0,0.0,1
170,"A hare (Lepus europaeus) crouching in the snow, taken by #WPYAlumni Owen Hearn, is our #WPY_Winter theme for #TaxonomyTuesday https://t.co/xRGPcIb3ng",0.0,0.0,1
171,"A hate hoods that are pure massive, canny see when you're no holding it it, n if you're holiding it rain goes down your sleeves:))",1.0,1.0,1
172,"#WhatYouNeedIn5Words ""A holiday under the sun..."" 🌞 #travel #vacation #TravelTuesday https://t.co/4hPBsz6aRE",0.0,0.0,1
173,A huge thank you to our Imara hikers who braved the cold and snow yesterday to raise money for Imara! https://t.co/A73pHcjxha https://t.co/7sI13vAhZc,0.0,0.0,1
174,"A huge well done to all the cast, dancers &amp; crew for last night's incredible &amp; really funny panto of 'Snow White'. I loved it so much. 😀 https://t.co/YGgHohlcE4",0.0,0.0,1
175,A jog in the morning sun followed by perfectly poached Suffolk eggs on @pumpstbakery sourdough… https://t.co/q9gQmyAjTi,0.0,0.0,1
176,"@SaraHollamby A joyful burst of colour on a grey cloudy day up here, looking forward to a rumoured sunny Wednesday and camera wander then x",0.0,0.0,1
177,A kingfisher is snatching newts from my sister's garden pond several times a day.  How cool is that!  Not in the snow though @WildWritingMA https://t.co/xHrTSUI7Ko,0.0,0.0,1
178,A lady with a giant umbrella just knocked my headphones into the gutter... but the snow falling on St. Paul's is a sight #everycloud,1.0,1.0,1
179,A late stroll with T.H.E Mole Esq 🐾 as the sun dipped over the moor 🌅 #Exmoor #NationalPark #Somerset https://t.co/cvLiuzxUFs,0.0,0.0,1
180,"A lazy Sunday today watching the rain patter on the window with a hot chocolate, catching up on stuff &amp; some exciting SSDLC planning ooh 🤘",1.0,1.0,1
181,"A lifer for both of us today - went to see the Waxwings in East Grinstead. They showed really well, despite the rain! https://t.co/TwxjHNNd7R",0.0,0.0,1
182,"A light covering of snow on our offices, this evening. #Snow #Cumbria #NotJustLakes #LakeDistrict #Whitehaven #CleatorMoor https://t.co/MzGhsjTV4w",0.0,0.0,1
183,A light covering of snow this morning - Can anyone guess the hole? #wintergolf https://t.co/SDODPVjbFl,0.0,0.0,1
184,"A light dusting of Snow at Castle Calderwood .Angus has never been out in it before ,not sure he likes it ! ❄️ https://t.co/T8Hn8qnhpw",0.0,0.0,1
185,A light dusting of snow at Bendrigg today - what a gorgeous view! #cornerofcumbria #cumbria #yorkshiredales https://t.co/LQ0NdSbsCc,0.0,0.0,1
186,A light dusting of snow at The Arsenal tonight 🌨 https://t.co/ZNRNMB5uxw,0.0,0.0,1
187,A light dusting of #Snow at the #fort last night. Not as much as the #winter of April 2008! #Portchester #Weather @TeamLocals #Portsmouth https://t.co/wI54OkFefU,0.0,0.0,1
188,A light dusting of snow in The Shire. ❄️❄️ @ Mutford https://t.co/N67nylmNBZ,1.0,1.0,1
189,A light dusting of snow in early morning Hackney - preparing for socio-urban chaos https://t.co/PfBU5CnMSY,0.0,0.0,1
190,A light dusting of snow on the Blorenge mountain over #Abergavenny reveals the Olympic rings in honour of @BecksJames. @DerekTheWeather https://t.co/UiMeZDOt8x,0.0,0.0,1
191,A light dusting of snow this morning. https://t.co/L3n7wVBmy7,0.0,0.0,1
192,A light snow and public transport grinds to a halt yet again. Pathetic. #london ❄️,1.0,1.0,1
193,A lightning tour of #TheBarrelThatRocks 🤘🍺 - Get in touch if you aren't SCARED of tasting FEROCIOUSLY tasty #Cornish ale ⚓️ #visitcornwall https://t.co/o3kKpaejHG,0.0,0.0,1
194,"A line of snow lingers on one of the Peak District's, erm peaks. It's not really winter without some snow. #GrandUKtour https://t.co/bGUGLqQVCv",0.0,0.0,1
195,A little birthday lunch with egle_bee at fish on sunny day borough market #fish #boroughmarket… https://t.co/hVm0THsZR6,0.0,0.0,1
196,"A little bit in Wales!☃How about you @TwinklScotland @TwinklROI @TwinklUSA?
@TwinklAustralia @TwinklNZ feel free to send us sunny pics😭☀ https://t.co/4kCxKINz6v",1.0,0.0,1
197,A little bit like a chocolate orange.  - Drinking a Tropic Thunder by @BrewDog at @brewdog  — https://t.co/RgfeGoa8Ne #photo,1.0,1.0,1
198,A little bit of #drizzle (on a souvlaki) never hurt anyone! 🍢 Ps. Please stop raining! 🌧 https://t.co/DlgQYRig0Z,1.0,0.0,1
199,A little bit of snow and it's FRIDAY,1.0,1.0,1
200,A little bit of snow and our country goes nuts! #englishweather https://t.co/dVesCzlKZd,1.0,0.0,1
201,A little bit of snow and the entire South East train network screws up.,1.0,1.0,1
202,A little bit of snow has arrived!! #snow #ballymena #Redstarmusic #music #lessons #cold #guitar #piano #drums #bass #vocals https://t.co/EeDlqzDuEn,0.0,0.0,1
203,A little bit of snow (in London cold rain) and this great city comes to a standstill!… https://t.co/8hfvJSVNAN,1.0,1.0,1
204,A little bit of snow this morning! ❄️ @markallentweet @ Otley Chevin https://t.co/oL5IkHrQwT,0.0,0.0,1
205,"A little bit of water , a bit of snow and the world goes mad",1.0,1.0,1
206,A little dusting of #snow in Bourton @CotswoldWeather https://t.co/bPiVVEb6gM,0.0,0.0,1
207,A little dusting of snow on @themalvernhills and @GreatMalvernUK https://t.co/qrcRu354A9,1.0,0.0,1
208,A little flurry of snow and the country goes into shut down,1.0,1.0,1
209,A little #throwback post to Tuesday this week when #Suffolk looked so #sunny and #bright in the #sunshine! #ThrowbackThursday #happythursday https://t.co/Ub2mQbbWe4,0.0,0.0,1
210,@laura_woodsy   A little pre season workout lol let it snow https://t.co/qxgSAMbJyq,0.0,0.0,1
